Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR031035_2	ERR031035_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2341886.0	0.0	61.0	46.0	56.517950460564215	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
ERR031038_1	ERR031038_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2406365.0	0.0	61.0	45.0	58.88637697409921	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031038_2	ERR031038_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2406365.0	0.0	61.0	45.0	58.872963504551024	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
ERR031039_1	ERR031039_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2166473.0	0.0	61.0	46.0	47.517611735718454	61.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
ERR031039_2	ERR031039_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2166473.0	0.0	61.0	46.0	48.051655432739985	61.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
ERR031040_1	ERR031040_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2407943.0	0.0	61.0	44.0	62.366483677229155	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031040_2	ERR031040_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2407943.0	0.0	61.0	44.0	62.18157977496068	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
ERR031041_1	ERR031041_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2492470.0	0.0	61.0	46.0	57.70466783701214	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
ERR031041_2	ERR031041_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2492470.0	0.0	61.0	46.0	57.546552646080286	61.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
ERR031042_1	ERR031042_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2334159.0	0.0	61.0	44.0	46.18892678231768	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031042_2	ERR031042_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2334159.0	0.0	61.0	44.0	46.37185196024324	61.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
ERR031043_1	ERR031043_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2429214.0	0.0	61.0	44.0	50.06088890038254	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031043_2	ERR031043_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2429214.0	0.0	61.0	44.0	50.202092041709726	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031044_1	ERR031044_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2341558.0	0.0	61.0	44.0	50.12108815682767	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR031044_2	ERR031044_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2341558.0	0.0	61.0	44.0	50.33650812041587	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR299295_1	ERR299295_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2450851.0	0.0	61.0	44.0	72.42392021015942	61.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
ERR299295_2	ERR299295_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2450851.0	0.0	61.0	45.0	72.50600085556388	61.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
ERR299296_1	ERR299296_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2445322.0	0.0	61.0	46.0	65.50032678363202	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
ERR299296_2	ERR299296_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2445322.0	0.0	61.0	46.0	65.20812440958525	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
ERR299297_1	ERR299297_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2391133.0	0.0	61.0	43.0	57.812194407736015	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR299297_2	ERR299297_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2391133.0	0.0	61.0	43.0	57.86214550018377	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
ERR299298_1	ERR299298_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2328506.0	0.0	61.0	44.0	58.54045279509085	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR299298_2	ERR299298_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2328506.0	0.0	61.0	44.0	58.657037314106475	61.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
ERR299299_1	ERR299299_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2397775.0	0.0	61.0	46.0	58.137945606570185	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
ERR299299_2	ERR299299_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2397775.0	0.0	61.0	46.0	58.51765019972959	61.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
